chart_id,close_val,volume,high,chain_id,Liquity,coin_id,date_val
14,5.55,52829100,5.82,1,58,2,"2023-08-15 22:10:12"
15,0.2339,2463870,0.25607,1,39,5,"2023-08-15 22:10:12"
16,0.2339,2463870,0.25607,1,39,5,"2023-08-15 22:10:12"
17,0.370935,88332900,0.391845,1,64,3,"2023-08-15 22:10:12"
18,0.370935,88332900,0.391845,1,64,3,"2023-08-15 22:10:12"
19,5.54,52474100,5.82,1,58,2,"2023-08-15 22:18:23"
20,5.54,52474100,5.82,1,58,2,"2023-08-15 22:18:23"
21,5.54,52488200,5.82,1,58,2,"2023-08-15 22:19:24"
22,5.54,52488200,5.82,1,58,2,"2023-08-15 22:19:24"
23,5.54,52497000,5.82,1,58,2,"2023-08-15 22:23:20"
24,5.53,52304600,5.82,1,58,2,"2023-08-15 22:44:03"
25,5.53,52304600,5.82,1,58,2,"2023-08-15 22:44:03"
26,5.53,52592600,5.82,1,58,2,"2023-08-15 22:49:26"
27,5.52,52719400,5.82,1,58,2,"2023-08-15 23:01:01"
28,0.233254,2438600,0.25607,1,39,5,"2023-08-15 23:01:01"
29,0.00160955,18345.5,0.0016229,1,1,7,"2023-08-15 23:01:01"
30,0.368219,89509000,0.391845,1,64,3,"2023-08-15 23:01:01"
31,0.368391,89322100,0.391845,1,64,3,"2023-08-15 23:10:09"
32,5.54,51874600,5.82,1,58,2,"2023-08-15 23:10:09"
33,0.0016091,18340.5,0.0016229,1,1,7,"2023-08-15 23:10:09"
34,0.233456,2440860,0.25607,1,39,5,"2023-08-15 23:10:09"
35,5.54,52582100,5.82,1,58,2,"2023-08-15 23:11:17"
36,0.233457,2439370,0.25607,1,39,5,"2023-08-15 23:11:17"
37,5.54,52654900,5.82,1,58,2,"2023-08-15 23:12:19"
38,0.368602,89868100,0.391845,1,64,3,"2023-08-15 23:12:19"
39,0.00160924,18342.1,0.0016229,1,1,7,"2023-08-15 23:12:19"
40,0.233353,2437540,0.25607,1,39,5,"2023-08-15 23:12:20"
41,5.54,52774200,5.82,1,58,2,"2023-08-15 23:14:24"
42,0.368569,89831500,0.39168,1,64,3,"2023-08-15 23:14:24"
43,0.368569,89831500,0.39168,1,64,3,"2023-08-15 23:14:24"
44,0.23316,2434140,0.25607,1,39,5,"2023-08-15 23:14:24"
