game_id,game_name,game_category,coin_id,launch_date
1,EV.io,"Third Person Shooter",1,"2023-03-19 00:00:00"
2,"League of Kingdoms","Real-time Strategy",5,"2023-01-05 00:00:00"
3,"Big Time",MMORPG,7,"2023-02-13 00:00:00"
4,"Champions Ascension","Real-time Strategy",9,"2023-06-02 00:00:00"
5,"Axie Infinity","Turnbased Strategy",2,"2023-01-05 00:00:00"
6,"The Sandbox","Open World",3,"2023-01-05 00:00:00"
7,Splinterlands," Collectible Card Game",NULL,"2023-01-05 00:00:00"
8,Illuvium,"Tycoon/Economic Sim",4,"2023-01-05 00:00:00"
9,"Castle Crush","Real-time Strategy",6,"2023-02-13 00:00:00"
10,Castaways,"Open World",8,"2023-03-19 00:00:00"
11,"Crypto Unicorns","Farming Sim",10,"2023-01-05 00:00:00"
12,Pixels.xyz,MMORPG,11,"2023-02-14 00:00:00"
13,"My Pet Hooligan","Action RPG",12,"2023-01-05 00:00:00"
