game_id,game_name,game_category,coin_id,launch_date
1,EV.io,"Third Person Shooter",NULL,"2023-03-19 00:00:00"
2,"League of Kingdoms","Real-time Strategy",5,"2023-01-05 00:00:00"
3,"Big Time",MMORPG,NULL,"2023-02-13 00:00:00"
4,"Champions Ascension","Real-time Strategy",NULL,"2023-06-02 00:00:00"
5,"Axie Infinity","Turnbased Strategy",2,"2023-01-05 00:00:00"
6,"The Sandbox","Open World",3,"2023-01-05 00:00:00"
7,Splinterlands," Collectible Card Game",NULL,"2023-01-05 00:00:00"
8,Illuvium,"Tycoon/Economic Sim",1,"2023-01-05 00:00:00"
9,"Castle Crush","Real-time Strategy",NULL,"2023-02-13 00:00:00"
10,Castaways,"Open World",NULL,"2023-03-19 00:00:00"
11,"Crypto Unicorns","Farming Sim",NULL,"2023-01-05 00:00:00"
12,Pixels.xyz,MMORPG,NULL,"2023-02-14 00:00:00"
13,"My Pet Hooligan","Action RPG",NULL,"2023-01-05 00:00:00"
